No,Nama Produk,Harga,Rating,Terjual,Toko,Lokasi
4404,LAPTOP LENOVO THINKPAD T490 i7 RAM 48 GB NVME 4TB VGA NVIDIA 2 GB LAYAR TOUCHSREEN MULUS PROMO MURAH,3290000,5.0,12 terjual,Raja Murah Pedia,Jakarta Utara
4405,LAPTOP LENOVO THINKPAD YOGA L380 L390 i7 RAM 32 GB SSD 2TB TOUCHSCREEN,3290000,5.0,16 terjual,Raja Murah Pedia,Jakarta Utara
4406,LAPTOP LENOVO THINKPAD T580 I7 RAM 32 GB SSD 1 TB PROMO MURAH BAGUS,3290000,5.0,22 terjual,Raja Murah Pedia,Jakarta Utara
4407,"LAPTOP HP EliteBook 830/840 G5 Core i5-8TH /RAM 32GB/ SSD 1TB 14""",3250000,4.9,100+ terjual,US_ELECTRONIC,Jakarta Barat
4408,DELL LATITUDE 7290 I7 - 8650U 8TH GEN / 16GB RAM DDR4 / 1TB SSD NVME  / FULL HD IPS / BACKLIGHT KEYBOARD / BATTERY DROP,3250000,Tidak Ada Rating,1 terjual,Nengdaraspeed,Bogor
4409,Laptop Lenovo Thinkpad X13 RYZEN 5 PRO with RADEON GRAPHICs,3250000,4.8,26 terjual,MR_elektronik,Jakarta Barat
4410,Lenovo Thinkpad T470s Core i7 Gen 6 Ram 8GB SSD 256GB Bergaransi,3250000,4.9,250+ terjual,FoxComp,Jakarta Pusat
4411,Lenovo Thinkpad T495S Ryzen 5 Pro RAM 16GB SSD256GB Like New,3250000,5.0,9 terjual,Labtop Solutions,Jakarta Pusat
4412,Laptop Touchscreen Lenovo Thinkpad T590 Core i5 Gen 8 16/256 FREE TAS,3250000,4.4,11 terjual,MR_elektronik,Jakarta Barat
4413,Laptop Lenovo Thinkpad T490s Core i5 8th Gen RAM 16GB SSD Touchscreen,3250000,4.9,80+ terjual,Specialist Laptop Second,Jakarta Barat
4414,"Laptop Touchscreen Lenovo Thinkpad X13 Gen1-20UG Ryzen 5 PRO 4650U 8GB 512SSD 13.3"" Free Tas/Mouse",3250000,5.0,1 terjual,STAR JAYA_ELECTRONIC,Jakarta Barat
4415,Laptop Lenovo X1 Carbon6 i7 GEN 8 RAM 16GB/512SSD,3250000,Tidak Ada Rating,1 terjual,Marvin_electronic,Jakarta Barat
4416,DELL LATITUDE 5491 i7-8850H 8TH GEN /32GB RAM /1TB NVME /FULL HD IPS,3200000,Tidak Ada Rating,1 terjual,TNS Speed Comp,Bogor
4417,Lenovo Thinkpad T470P | T460P VGA Geforce Intel Core i7 Gen 7820HQ,3200000,4.9,22 terjual,Ocean Laptop,Jakarta Barat
4418,Laptop Lenovo ThinkPad T480s Core i5-gen8  Ram 20GB,3200000,5.0,70+ terjual,Hosea Timoho29,Yogyakarta
4419,LAPTOP ACER ASPIRE 3 A314 RAM 4GB SSD 256GB,3200000,5.0,100+ terjual,MR_elektronik,Jakarta Barat
4420,"Laptop Lenovo Thinkpad Yoga 370 Core i5 Gen 7 Ram 8GB SSD 256GB 13,3 Inch",3200000,4.5,40+ terjual,start comp,Jakarta Pusat
