No,Nama Produk,Harga,Rating,Terjual,Toko,Lokasi
42,"ACER Aspire Lite AL14 51M 37GM i3 1215U 8/512GB SSD W11 14"" WUXGA IPS",6169000,5.0,250+ terjual,Acer Authorized Store Jakarta,Jakarta Utara
43,"LENOVO V15 G3 IAP I3 1215U 8GB 512GB 15.6"" FHD IPS W11 OHS",5999000,5.0,100+ terjual,Lenovo Authorized Jakarta Utara,Jakarta Utara
44,Lenovo Ideapad Slim 3 Core i7 1255U 16GB 512SSD IrisXe 14.0FHD OHS,5999000,5.0,29 terjual,Top Tech Comp,Jakarta Utara
45,Laptop Lenovo IdeaPad Slim 3i i3-1215U 256GB SSD 8GB WIN11+OHS,5849000,Tidak Ada Rating,2rb+ terjual,Lenovo Authorized Tangerang,Tangerang
46,"MSI Modern 14 C12MO i3-1215U  UHD Graphics 14"" FHD IPS",5699000,4.9,250+ terjual,MSI STORE ID_NEW,Jakarta Pusat
47,"ASUS VIVOBOOK 14 A1405ZA i3 1215 8GB 512 SSD W11+OHS 14"" FHD IPS",5669000,4.9,250+ terjual,royalltech,Jakarta Utara
48,Lenovo Ideapad Slim 3 Core i3 1215U 8GB 512SSD  FHD 14 Inch Win 11 OHS,5659000,4.9,1rb+ terjual,Thinkpad Official Store,Jakarta Utara
49,Asus Vivobook Go 14 E1404FA Ryzen 3 7320U 8GB 256-512GB W11+OHS FullHD,5659000,5.0,250+ terjual,Gamer ID Surabaya,Surabaya
50,ASUS Vivobook Go 14 E1404FA Ryzen 3 7320U 8GB 610M 14 FHD W11 + OHS,5659000,5.0,1rb+ terjual,AMD Official Store,Jakarta Utara
51,"AXIOO HYPE 5 AMD X5-2 Ryzen 5 7430U 8GB /16GB 256GB 14"" FHD IPS Windows 11 / DOS",5649000,4.6,30+ terjual,AMD Official Store,Jakarta Utara
52,"LAPTOP ACER ASPIRE 3 A314-36M i3-N305 8GB 512GB INTEL UHD 14"" W11 OHS",5449000,4.9,1rb+ terjual,Protech Computer,Jakarta Pusat
